,JobTitle,Company,Location,JobDescription
31,Data Scientist,Scout Talent HQ,Brisbane QLD,"Our Group and Growth Plans
Scout Talent is part of Scout Talent Group - a group of Australian companies dedicated to recruitment marketing, talent attraction and digital innovation.
Our Group brands are comprised of:
RecruitShop- offering a simple and effective flat-fee recruitment product aimed at SMEs
Employment Office- a recruitment marketing organisation that makes it easy for mid-sized organisations to attract, recruit and onboard the best talent
Scout Talent- a recruitment tech business, offering best of breed talent engagement, recruitment and onboarding software to mid- and large-sized organisations around the world
NetEngine- a custom software, web and mobile development company that works with start-ups and established organisations all over the world to bring their digital visions to life
Together we have over 100 employees and offices in Brisbane, Sydney, Melbourne and Vancouver.
Our steady growth over the last decade, coupled with our services-enabled-software strategy, sets us up well for our three-year plan to IPO.
It’s an exciting time to join the team and we’re looking for A-Players who want to contribute to and be part of what will be a busy, challenging, rewarding next stage in our evolution.
The Opportunity
We’re on the lookout for a Data Scientist to join our team, working with us on our AI strategy and project plan, using machine learning, predictive analytics and large data analysis tools to utilise our large amounts of candidate/recruitment data. This is all for the purpose of enriching and empowering our clients’ experience across our range of products and services.
Reporting to our CEO, you will be leading the team on all AI and machine learning research, using your findings to provide advice and recommendations to ensure Scout Talent is at the forefront of innovation and ahead of the latest trends.
Your key responsibilities will include:
Utilising cloud technologies to develop machine learning and AI solutions for the business;
Identifying gaps in data and enhancing collection procedures to ensure relevant information is included for building analytic systems;
Developing any models or prototypes needed to demonstrate solutions; and
Processing and cleansing data as needed to verify the integrity of its use for analysis.
About You
We want someone who is genuinely passionate about AI, Machine Learning and Deep Learning. You will have hands-on, demonstrable experience in a similar role, and a bachelor's degree in Data Science, Computer Science, Statistics, or a relevant area.
You will need commercial experience with descriptive, predictive and significance analysis, data wrangling, and data visualisation and aggregation. It would be a plus if you had practical skills and knowledge of a variety of languages including Python and Javascript, but this isn't essential.
Communication skills will be crucial as you will liaise with a range of stakeholders, including non-technical end users. You will also be open to accepting feedback and capable of reflecting on past results, drawing insights, and identifying areas of improvement.
Importantly, we're after someone who is approaching this opportunity with a long-term mindset. We all love what we do and need team members who are eager to show up and perform each and every day.
The Benefits
If you’re keen for a challenge, want to play a key role in the ongoing growth and success of Scout Talent Group, and are ready to sink your teeth into some great new initiatives, this is the role for you.
You will have access to our Executive Team and be mentored by our CEO who will encourage your opinions and ideas, while giving you the freedom and autonomy to implement the processes and plans you see fit.
You'll be rewarded with an attractive remuneration package, in line with your skills and experience. You’ll also enjoy ongoing opportunities for paid travel and paid industry conferences.
We value innovation, enthusiasm, ownership, transparency and wellbeing.
Our company culture is really important to us and we celebrate success with regular shout-outs on our internal social network, ringing bells when a new sale comes in, quarterly awards nights/parties, and an annual overseas weekend rewards for our High Achievers (next July we're headed to Seoul!). As much as we recognise and reward our people, we also place importance on focus and self-discipline. It's a good balance.
We've achieved over 15 years of profitable growth, and have increased revenue year-on-year. We’re an established and stable brand name with the agility and energy of a start-up atmosphere. As mentioned earlier, we have a three-year plan to IPO. It’s a good time to join.
Interested? Tell us a bit about yourself below and we'll be in touch shortly."
32,Machine Learning & Data Scientist,Techspear,Sydney NSW,"As the Senior data Scientist or a machine learning developer, you’ll be joining our client’s innovation hub located in a large Financial institution.
You will analyse large amounts of financial data that needs to be optimised for analysis. Further, you will be bringing new capabilities in prediction, prescriptive analytics, and data-informed automation.
At same point in time, organisation will help in upbringing with new approaches, technologies, and collaborate with you solving business problems at a national level.
It’s an opportunity for you to see business challenges of a very large and respected financial institution, understand the data available or needed, and identify opportunities for improvement.
Experience & skills required:
Here's What You'll Need
- 5 + years' experience of building models and deriving insights in a position as a Data Scientist
- Execute AI/ML research projects, e licit and elaborate contextual business and operational outcomes
- Work or educational experience in Machine Learning or Artificial Intelligence
- Ideal to have working with Apache Spark, Tensorflow, Caffe, Torch, Theano, or Scikit-Learn
- Leverage big data tools and AI / ML solutions to perform the analysis
- Contribute to conceptual, algorithmic and architectural design, documentation, experiment, prototype, development, testing and deployment of ML/DL solutions on big data platforms.
- A degree in a quantitative discipline e.g. Mathematics, Statistics, Physics, Engineering, Computer Science, Econometrics, Actuarial etc. is required
- Proficiency and experience in statistical modelling, machine learning and/or AI techniques
- A high level of proficiency with at least one programming languages used in data science (R/Python/Scala) and statistical packages (R,SAS)
- Proficiency with SQL, with ability to query large, complicated and disparate data sets
- Experience with visualisation and data preparation & blending tools (Tableau, Power BI, Alteryx)
- Proficiency with Hadoop/Cloudera, Spark or other big data related technologies
- Good understanding of Cloud hosted platforms
- Balancing business insight, acumen and analytics to develop recommendations
- Undertake both proactive and reactive analysis across large sets of data
- Develop advanced analytics models, including the preparation and reconciliation of data and interactive visualisations
- Deep statistical understanding of mathematical methods of data analysis
- Experience with Oracle, Microsoft SQL Server, and SQL Server Management Studio
- Work effectively as part of a team to deliver client outcomes.
We understand that you may be good in some areas or all of them, we would love to have a chat with you on this further and share more details.
We are well recognized in Data science and machine learning industry for utilizing the resource potential. Hence. we proud ourselves to provide industry best compensation to deserving candidates.
Reach out and apply for details.
Job Type: Full-time
Experience:
Data Scientist: 5 years (Required)
Location:
Sydney NSW (Required)
Work Eligibility:
The candidate can work permanently with no restriction on hours (Required)"
33,Research Scientist,Victorian Government,Horsham VIC,"Reference: VG/026136A
The Department of Jobs, Precincts and Regions (DJPR) was established on 1 January 2019 to ensure Victoria's strong economic performance by growing industries and regions. Here at DJPR, we're making sure Victoria's economy benefits all Victorians by creating more jobs for more people, building thriving places and regions and nurturing inclusive communities.

Our work supports six ministers, spans 12 portfolios and operates across metropolitan, regional and international offices. We also oversee various public entities, including public corporations, regulatory authorities and specialist boards.

The Department strongly encourages applications from Aboriginal and Torres Strait Islander people.

The Department offers reasonable adjustments for applicants with disabilities on request.
Research Scientist
$85,279 - $96,759 (Plus Superannuation)
Fixed Term – 3 Years
Usual hours of work: Full Time (flexibility may be available)
Usual work location: Horsham
The position of Research Scientist forms a part of the Agriculture Victoria Research branch within the Agriculture Victoria group.
This position will play a key role in the Victorian Grains Innovation Partnership co-funded by Agriculture Victoria Research and Grains Research and Development Corporation and will investigate physiological and agronomic approaches to achieve transformational productivity improvements in pulses in south-eastern Australia. The project will investigate phenological and architectural trait diversity in key pulses and quantify their ability to improve productivity and overcome production constraints. The research will combine cutting edge sensing and imaging technologies in both glasshouse and field situations to generate data which will then be used to inform crop simulation modellers in the design of new plant ideotypes.
The position requires good knowledge of research practices for studying agronomic processes in pulses and the effect they have on productivity in a range of agroecological environments. The position will be responsible for assisting in the design and conduct of experiments, including data collection, collating and analysis, and preparing scientific publications and reports.
The successful applicant will work effectively as a member of a large multi-disciplinary team at Australia's leading regionally based grains institute. You will be self-motivated, well organised, able to innovate and have a passion to undertake world class R & D that improves the profitability and sustainability of the Australian grains industry. The role will liaise widely with the agricultural and scientific sector to determine major constraints to pulse productivity in Victoria and oversee the design of plant ideotypes that will target production constraints.
For a confidential discussion, please call Garry Rosewarne, Senior Research Scientist on 0477 616 759.
Successful candidates will be required to undergo a National Police Records and Qualifications Check prior to commencing employment with the Department.
For further information on the position, please see the attached position description. To apply, please click the ‘Apply Now' button below.
Applications close at midnight on 13 October 2019 and must address the Key Selection Criteria outlined in the Position Description.
Favourite job
Print
Share
27 jobs are currently listed for Department of Jobs, Precincts and Regions
Job type:
Full time / 3 years
Job classification:
SciB
Contact:
Garry Rosewarne | 0477 616 759
Job attachments:
026136 Sc B Research Scientist PD 300719.docx"
34,Data Analyst / Data Scientist,ASIC,Sydney NSW,"Strategic Intelligence
$106,709 to $123,432 (depending on experience) plus up to 15.4% superannuation and a performance bonus
Permanent
A future with ASIC means that your work will contribute to ASIC's vision for a fair, strong and efficient financial system for all Australians. We value what you will bring. We value those with sharp, analytical minds and are open to challenging the way things are done.
The team
ASIC's Strategic Intelligence team provides clear and actionable research that promotes evidence-based decision making by our people. The team offers a range of general and specialist research skills to help detect misconduct and better understand financial markets and products.
The role
As a Data Analyst, you will contribute to the work of Strategic Intelligence by:

identifying and assessing trends, emerging risks and misconduct in financial services and markets
scoping, identifying and establishing data analysis methodologies to address research questions
designing and advising on processes to collect, manipulate, clean and explore data
analysing structured and unstructured data using statistical or machine learning approaches
communicating analytical findings, including through reports, briefings, presentations and data visualisation
contributing to the development of ASIC's data analytics and data science capabilities.
About you
To be successful in this role you are required to have 5 years' experience and demonstrate the following:

Bachelor's degree in a quantitative discipline such as Finance, Statistics, Mathematics, Computer Science, Engineering or Economics.
Experience as a data analyst, ideally gained in a corporate, consulting, government or academic environment.
Ability to think about and solve problems, coupled with strong business acumen.
Experience in applying statistical or machine learning approaches. Experience in a programming language such as R or Python is preferred.
Ability to work independently with limited supervision and be accountable for outcomes.
About ASIC
ASIC is Australia's integrated corporate, markets, financial services and consumer credit regulator.
ASIC has a broad mandate. We are a regulator; a policy advisory body; a consumer protection agency; a licensing body; a financial educator and consumer advocate; and a company and professional registry. And we are a law enforcement agency.
This work is directed to one principal aim: to realise ASIC's vision for a fair, strong and efficient financial system for all Australians.
Underpinning ASIC's vision is the recognition that every cent in the financial system is other people's money.
A future with ASIC means that your work will contribute to achieving ASIC's vision.
ASIC is committed to a providing a diverse and inclusive workplace where the very best talent in Australia chooses to work. Indigenous Australians are encouraged to apply as well as applicants from all backgrounds and with different abilities.
To work with us, you must be an Australian citizen, and be prepared to complete an ASIC Suitability and Baseline Assessment which is issued ASIC's Personnel Security Team.
Please view the position description for more information or click ‘apply' to start your application."
35,Research Scientist,CSL Behring,Parkville VIC,"The Opportunity
This exciting role, based within the Research & Clinical Bioanalytics Department, will be bench based, utilising the successful applicants experience and expertise to lead activities in identifying, establishing, developing and implementing specialised (non-routine) bioassays (e.g. mechanistic/pharmacodynamic biomarkers, PK, and immunogenicity/anti-drug antibody assays and to support Research & Development of novel therapeutic proteins.
The successful applicant will join a research focussed, high profile, laboratory based team that works at the interface between research and clinical development. You will devise, develop and implement high quality, regulatory compliant bioassays and biomarkers to support R&D of candidate therapeutic proteins and provide data from such assays to allow scientifically informed decision making in research, toxicology and clinical development studies. You will be defining standard operating procedures governing assay conduct to support these studies. You will also need to maintain a high level awareness of key scientific/technical strategies and innovative technical developments in your areas of expertise as well as being up to date with key literature in the relevant therapeutic indications.
You will ideally be an expert in many of:
In vitro assay methodologies (e.g. ligand binding technologies/assays)
Flow Cytometry
Immunohistochemistry
PCR techniques
Transcript profiling
Western blotting
Cell-based bioassays (cell signalling, receptor/binding occupancy, cytotoxicity etc.)
Chemokine/cytokine biology
Immune cell analysis and assay
Inflammatory assays
In and ex vivo assay methodologies using animals or human samples to develop/refine models that allow:
Measurement of PK of therapeutic proteins
Measurement of immunogenicity of therapeutic proteins
Measurement of dynamic modulation of target mechanism/biology (i.e. development of pharmacokinetic/pharmacodynamic models)
Demonstration of the relationship btw biomarker modulation and outcome
A particular focus of the role will be on the development, validation and clinical implementation of bioassays and biomarkers that will support 'First in Human' clinical studies of CSL's pipeline of novel recombinant proteins and antibodies. You will assess all aspects of the feasibility of such bioassays or biomarkers for inclusion in research, GLP toxicology and clinical studies (e.g. reagent provision, assay design and robustness, compliance to appropriate regulatory standards (eg GMP, GLP and GCLP), sample collection, transport logistics and clinical practice). You will establish/adapt assay methods whilst verifying/validating that assays are ""fit for purpose"". Research experience relating to the complement system, complement-mediated pathologies and assays of complement parameters will be well regarded.
To be successful

You will hold a post-graduate qualification with at least three years experience in pre-clinical and clinical development of biopharmaceuticals or equivalent related experience in industry and/or academia. You will lead the science from the bench for the development of relevant new assays.
The successful applicant will have excellent communication/networking skills as the position requires close interaction with our research colleagues and early/late phase clinical development groups across the CSL global sites (Melbourne, Marburg, Bern, King of Prussia) groups. An excellent problem solver with practical application to lab techniques and instrumentation, you will be a 'self starter' and undertake novel approaches to basic scientific questions.
Applications close 19th September, 2019
Employment screening, including criminal history, medical assessment, confirmation of experience and stated qualifications, Australian working rights and other relevant checks form part of the candidate suitability evaluation process.
Worker Type:
Employee
Worker Sub Type:
Regular"
36,Data Scientist,"Wesfarmers Chemicals, Energy & Fertilisers (WesCEF...",Kwinana WA,"JOB REF:WesCEF360929
Do you have a passion for building analytical models, solving problems and helping improve business performance?
Lead data science workstreams of exciting projects developing exciting new Agtech products and services
Work on complex problems and interesting data sets to develop business insights and make recommendations
Accepting applications from all over Australia with relocation and flexible working options available.
Wesfarmers Chemicals, Energy & Fertilisers (WesCEF) operates businesses that service a range of sectors in both domestic and international markets. We recognise that our people are central to our success; after all they have helped drive our businesses to become well-recognised industry leaders for over 100 years. We are a talented and engaged group of people who strive to support our innovative and sustainable businesses through diversity of thinking, skills and experiences.
About this opportunity:
Be part of a growing and diverse organisation and have the opportunity to grow, innovate and instil real change that will add value to the business and drive our increasing dedication to advanced analytics.
You will work with cross functional teams to design experiments, build high quality reliable models, and make recommendations based on sound analyses to develop new Agtech products and services and improve our business. The role offers great personal development as you will be using a broad range of complex data sources and new technologies to build novel products involving advanced analytics.
Your key responsibilities will include:
Leading the data science workstream of a project to develop an exciting Agtech product using spectroscopy
Conducting analysis to address business questions and support data driven decisions
Driving business intelligence through predictive analytics, machine learning and other forecasting techniques
Providing recommendations to improve data quality
Researching and experimenting with emerging technologies and tools
Communicating with and influencing stakeholders from across the business to drive good outcomes
Helping to shape our advanced analytics roadmap
Supporting our businesses on a variety of projects.
Do you have a mixture of the following skills and experience?
Good interpersonal and communication skills including the ability to influence and consult with a diverse audience
Extensive knowledge of Data Science, Statistical Modelling and Machine Learning
A tertiary qualification particularly in Mathematics & Statistics or Computer Science or equivalent experience in a Data Science role
Problem solving abilities
Experience in Python or R is essential
Translational skills and the ability to explain analysis and provide recommendations to a non-technical audience
Experience in or exposure to spectroscopy, chemometric modelling or industrial domain problems will be highly regarded
Experience in Power BI, SQL, Azure or AWS stack will be highly regarded
Experience in productionalisation of machine learning models will be well regarded.
We welcome people with different skills, and life experiences and encourage individuals from diverse backgrounds to apply. We pride ourselves on developing and supporting people and recognise the importance of flexibility. When you apply, please let us know if you are seeking a flexible employment arrangement.
Applications close: 5pm on Wednesday, 18 September 2019.
We reserve the right to commence the recruitment process prior to the closing date. It is recommended to apply as soon as possible.
This opportunity is currently only open to candidates with the right to work in Australia.
Agency applications will not be accepted.
#LI-POST"
37,Data Scientist,WesCEF Division,Kwinana WA,"JOB REF:WesCEF360929
Do you have a passion for building analytical models, solving problems and helping improve business performance?
Lead data science workstreams of exciting projects developing exciting new Agtech products and services
Work on complex problems and interesting data sets to develop business insights and make recommendations
Accepting applications from all over Australia with relocation and flexible working options available.
Wesfarmers Chemicals, Energy & Fertilisers (WesCEF) operates businesses that service a range of sectors in both domestic and international markets. We recognise that our people are central to our success; after all they have helped drive our businesses to become well-recognised industry leaders for over 100 years. We are a talented and engaged group of people who strive to support our innovative and sustainable businesses through diversity of thinking, skills and experiences.
About this opportunity:
Be part of a growing and diverse organisation and have the opportunity to grow, innovate and instil real change that will add value to the business and drive our increasing dedication to advanced analytics.
You will work with cross functional teams to design experiments, build high quality reliable models, and make recommendations based on sound analyses to develop new Agtech products and services and improve our business. The role offers great personal development as you will be using a broad range of complex data sources and new technologies to build novel products involving advanced analytics.
Your key responsibilities will include:
Leading the data science workstream of a project to develop an exciting Agtech product using spectroscopy
Conducting analysis to address business questions and support data driven decisions
Driving business intelligence through predictive analytics, machine learning and other forecasting techniques
Providing recommendations to improve data quality
Researching and experimenting with emerging technologies and tools
Communicating with and influencing stakeholders from across the business to drive good outcomes
Helping to shape our advanced analytics roadmap
Supporting our businesses on a variety of projects.
Do you have a mixture of the following skills and experience?
Good interpersonal and communication skills including the ability to influence and consult with a diverse audience
Extensive knowledge of Data Science, Statistical Modelling and Machine Learning
A tertiary qualification particularly in Mathematics & Statistics or Computer Science or equivalent experience in a Data Science role
Problem solving abilities
Experience in Python or R is essential
Translational skills and the ability to explain analysis and provide recommendations to a non-technical audience
Experience in or exposure to spectroscopy, chemometric modelling or industrial domain problems will be highly regarded
Experience in Power BI, SQL, Azure or AWS stack will be highly regarded
Experience in productionalisation of machine learning models will be well regarded.
We welcome people with different skills, and life experiences and encourage individuals from diverse backgrounds to apply. We pride ourselves on developing and supporting people and recognise the importance of flexibility. When you apply, please let us know if you are seeking a flexible employment arrangement.
Applications close: 5pm on Wednesday, 18 September 2019."
38,Data Scientist,Digitas,Sydney NSW,"Digitas is an ambitious & connected agency where brilliant minds come together to make bold, award-winning marketing. We use data-driven insights to guide our work, but we also believe in a healthy dose of spirited storytelling as we strive to transform the marketing landscape.
As part of Data & Analytics (DNA) our Data Science teams develop industry-leading analytic solutions for clients across industries, channels, and business functions. We apply a bespoke and cutting-edge arsenal of statistical, analytical and computing techniques to complex data problems at scale, with the emphasis on game-changing - and measurable - business impact. We work in close collaboration with colleagues across all agency disciplines to develop truly innovative, highly effective, data-powered solutions for our clients.
To help with this, we’re looking for an outstanding Lead Data Scientist – an experienced problem solver and passionate evangelist of all things data, including the latest and greatest in methods, technologies and applications. Sound like you? Read on.
Data Scientists provide a wide range of analytic solutions for a multitude of client applications. We build inferential and predictive models, including machine learning algorithms and AI; we process, integrate and manipulate big data with distributed systems and customer data pipelines; we synthesise results and translate findings and into compelling stories that resonate with clients.
As Lead Data Scientist, you are our internal expert. You will develop and implement multi-faceted solutions for complex marketing and business challenges—from cross-channel media and customer experience optimisation to segmentation, targeting and business strategy—synthesising just the right elements of our technical and analytical offerings.
The role will also support and be supported by the network as part of the Publicis Spine global data community.

Day-to-day, your role includes:
✦ End-to-end ownership of analytical projects involving data engineering, data mining, statistical modeling, and business strategy
✦ Internal expertise in fundamental skill areas such as statistical methods, distributed computing, machine learning, AI, and open source programming
✦ Thought leadership and innovation in process, technique, and implementation.
✦ Summarising, visualising, communicating and documenting analytic concepts, processes and results for technical and non-technical audiences.
✦ Sharing knowledge, debating techniques, conducting research to advance the collective knowledge and skills of our Data Science practice.
✦ Sharing knowledge, debating techniques, conducting research to advance the collective knowledge and skills of our Data Science practice.

Required experience and skills:
We’re looking for rigorous analytic training and 7+ years professional experience in a data science or analytics role, which typically includes:
✦ Robust domain expertise in areas of statistical methods, distributed computing, machine learning, AI, and/or a variety of open source programming languages
✦ Experience implementing a range of statistical or machine learning methods, from basic descriptive statistics, hypothesis testing and feature transformation to complex dimension reduction, supervised or unsupervised learning, and model tuning and validation.
✦ Proficiency in Python or R, SQL, and distributed computing systems such as Hadoop or AWS. Familiarity with Linux and/or Spark preferred.
✦ Demonstrated ability to communicate complex technical concepts to non-technical audiences
✦ Experience integrating a variety of data sources, methods, and applications to achieve specific objectives
✦ Demonstrated passion for marketing analytic applications
✦ Demonstrated self-starter who thrives in a fast-paced environment with limited structure.

Evaluation:
Digitas follows a rigorous performance management process based on four competency areas (Clients & Commercials, People, Delivery & Innovation, Craft Skills). Employees and managers have regular appraisal milestones, based on a tiered scorecard and SMART objectives agreed at the start of the year. Assessment happens through a continuous feedback process. Three-month objectives will be agreed for all new joiners to the company.

A little bit about us:
We are The Connected Marketing Agency. A strategic partner that guides brands to make meaningful connections with extraordinary outcomes.
Our purpose is to deliver Truth, Connection and Wonder. Truth. Being data-driven, informed by real human behaviour. We create authentic experiences inspired by insights. We believe in transparency in our business practises. Connection. We connect the ecosystem between brands and consumers through all marketing touchpoints…digital, physical, emerging. We connect with partners, sister agencies and clients for unconventional solutions. Wonder. By approaching challenges with excitement, imagination and a sense of what’s possible. Our ideas excite, open eyes, provoke, move people in transformational ways.
We are designed, through approach, workplace, and model to bring together experts in brands, data, technology, media, content, creative and CRM across the world. Our 6,000 diverse talents include technology, data and media experts as well as creative, customer and commercial specialists. Our unicorns are dedicated to helping our clients navigate their own marketing transformation delivering work that resonates with audiences around the world.
The way we do this is by connecting datasets that reveal people’s choices, preferences and attitudes through millions of signals in what they do each day. We pride ourselves on having one of the most innovative strategy teams in the business. Our goal to design the right end-to-end customer journey – people are at the centre of everything we do and data is the fuel. Our clients regularly sing our praises, and who can blame them: from several of the world’s largest banks to household names in travel, shopping, food, and leisure, our work is broad and innovative. But we are interested in more than just best-in-class insights; we strive to offer every employee cutting-edge career development with a generous helping of fun."
39,Research Fellow - Machine Learning,Monash University,Clayton VIC,"The Opportunity
An exciting opportunity exists for a talented and ambitious Research Fellow to become an integral member of Professor Dinh Phung’s research team, working at the forefront of theoretical and applied machine learning with a theoretical focus on generative deep learning, Bayesian nonparametrics and graphical models, optimal transport and process theory for machine learning with potential applications in computer vision, NLP, conversational AI, recognition detection/recognition and digital identity such as facial recognition.
The Research Fellow will have the opportunity to work with the best minds in AI and machine learning within a broader network of word-class experts in these fields in the Faculty of Information Technology, collaborating with exceptional research colleagues (e.g., UC Berkeley) whilst leveraging the resources of a leading Go8 University and Australia’s best faculty of IT. This really is one of those rare opportunities that you should absolutely consider!
This role is a full-time position; however, flexible working arrangements may be negotiated.
At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check.
For instructions on how to apply, please refer to “How to apply for Monash Jobs”.
Enquiries
Professor Dinh Phung, +61 3 9905 6955, dinh.phung@monash.edu
Position Description
Research Fellow - Machine Learning
Closing Date
Wednesday 9 October 2019, 11:55 pm AEDT
#LI-DNI
Supporting a diverse workforce"
40,Data Scientist/Analyst - Junior to Mid,Talent International,Melbourne VIC,"Job Details
Location
Melbourne
Salary
$ neg. Hourly Rate
Job Type
Contract
Ref
JO-1909-533999
Contact
Kylie McManus
Posted
3 days ago
Opportunity
Are you a junior to intermediate Data Scientist/Data Analyst with advanced knowledge of statistical modelling, SAS, and data visualisation tools? Able to analyse business insights from data?

This is a fantastic LONG term contract based in Geelong and you'll be joining a national team.

You will be working with the Market Enablement Team which supports market stewardship for the NDIS. This role will involve working with a number of stakeholders across the business to support process improvement, perform research, data analysis, and modelling and deriving insights/reports.

Success Measures:
Expertise in business-focused data analysis
Statistical and mathematical modelling (correlation, regression, hypothesis testing)
Microsoft Excel and SQL development
SAS, SAS Visual Analytics (VA)
Python, R, Shiny R
A degree in actuarial studies, statistics, mathematics, economics/econometrics or other relevant fields of study
Experience working within the health care sector or government is highly advantageous

Apply today!!
kylie.mcmanus@talentinternational.com or call 03 9236 7725"
41,Data analytics specialist/Machine learning,Allianz,Sydney NSW,"Due to business growth and demand, our Technical division is currently seeking to appoint a Data analytics specialist/Machine learning to join our Actuarial Pricing & Data Analytics team based at our Market Street, Sydney CBD office. This is an excellent opportunity to utilise your data science, problem solving, communication and analytical skills.
The key responsibility of the Data analytics specialist/Machine learning is to establish the data analytics best practice and drive the embedment across pricing and portfolio management activities within the Technical Division. This role will provide data science and analytics expertise and develop best practice framework which will be implemented consistently across the pricing and portfolio management activities for all products.
In addition, you will work closely with internal stakeholders within the business to provide innovative solutions to our customers. As a member of the Technical Division you will be responsible for developing insights that directly drive business outcomes.

Key role responsibilities:
Develop data analytics strategy for the Actuarial Pricing teams to strengthen our data analytics and actuarial pricing capabilities
Lead data analytics projects and develop best practice frameworks for the Actuarial Pricing teams
Develop and deploy data science/machine learning solutions within the pricing and portfolio management framework to achieve Technical Excellence
Support implementation and embedment of data analytics best practice across the pricing and portfolio management activities
Provide expert advice and guidance to pricing analysts
Apply innovative thinking in solving customer problems, utilising big data and advanced analytics
Collaborate with internal stakeholders on enterprise data initiatives and liaise with Allianz Group to leverage existing materials and development
Share knowledge on advanced analytics techniques and best practice framework with the Actuarial Pricing team
About You:
The successful applicant will possess the following experience within a similar Data Science or Actuarial role, with an understanding of General Insurance products.

Minimum 5 years' experience in data science and analytics, with experience in General insurance pricing desirable
Experience in predictive modelling (such as claims, quote conversion, customer retention) with Machine Learning techniques
Experience with project management is beneficial, including the ability to lead and coach others
Strong “first principles” problem-solving skills, be curious and creative
Strong consulting and influencing skills, the ability to co-create strategy and valuable analytical solutions with key business stakeholders
Demonstrated ability in innovative development practices, be able to rapidly generate data science prototypes using relevant techniques
Not satisfied with the status quo, with a proven ability to deliver projects on time, by identifying and removing blockers along the way
Data Science or Actuarial Qualification would be viewed favourably
Experience with Python would be favourably considered
Allianz is committed to employment equity and promoting an inclusive work environment. We welcome applications from men and women regardless of race or cultural diversity, age, sexual orientation or identity, disability, political and religious standing as well as thinking and working styles. We invite you to let us know of any reasonable adjustments you require to equitably participate in the recruitment process or in performing the requirements of the role.
#LI-AllianzAU"
42,Graduate Research Performance Analyst,La Trobe University,Australia,"Continuing, part time (0.5) position
Located at Bundoora campus
$ 85,724 to $ 94,302 per annum (pro-rated) plus up to 17% superannuation
About La Trobe
La Trobe University’s success is driven by people who are committed to making a difference. They are creative and highly motivated, pursue new ideas and create knowledge. La Trobe is one of Australia’s research leaders, and the largest provider of higher education to regional Victoria. Our teaching and research address some of the most significant issues of our time and we’re passionate about driving change through operational excellence to benefit the communities we serve.
The La Trobe Graduate Research School (GRS) aims to support a dynamic and engaged community of researchers La Trobe producing world-class research with impact in society. The GRS contributes to an inspiring research and professional development environment by providing graduate research candidates, their supervisors and all researchers with:
Modern, professional life-cycle candidature management and administration
Exciting industry, community and international engagement opportunities
World-class research education and development initiatives
Contemporary and academically rigorous research training governance and advice
About the role
In this role you will work with the Graduate Research School executive team and university stakeholders to develop reporting and analysis to help meet the University’s information needs and compliance requirements relating to higher degrees by research. You will gather information and provide analysis about the University’s graduate research performance from a diverse range of information sources, including internal and external databases and through contact with Graduate Research School staff, researchers and academic leadership. You will maintain a strong engagement with developments in graduate research performance measurement and evaluation across the higher education sector, and keep up to date about the potential application of these to University’s strategy and planning processes. You will also have a role to play in providing advice on how to develop local systems and processes to improve on reporting and business intelligence capability.
Skills & experience
To be considered for this role you will have completed a an undergraduate degree with at least four years subsequent experience; or extensive experience and management expertise; or an equivalent alternate combination of relevant training and experience. You will have excellent interpersonal skills, with a proven capacity to work collaboratively and cooperatively in small teams and with stakeholders across the university; demonstrated high-level quantitative and qualitative analytic skills; demonstrated capacity to prepare high-quality reports, documents and presentations; high-level skills with data acquisition, manipulation, and analysis; demonstrated organisational and problem solving skills, with an ability to effectively manage several different projects concurrently; demonstrated high level of self-motivation and personal management skills; and an ability to develop innovative methodologies involving considerable theoretical and technical sophistication. Knowledge of current trends and developments in higher education policies nationally and internationally is desirable.
Please refer to the Position Description for other skills and experience required for this role.
All La Trobe University employees are bound by the Working with Children Act 2005. If you are successful, you will be required to hold a valid Victorian Employee Working with Children Check prior to commencement.
Benefits
Please click on this link for a full list of Benefits http://www.latrobe.edu.au/jobs/working/benefits
How to apply
Closing Date: Sunday 22nd September 2019 by 11.00pm AEST.
Position Enquiries: Dr Clare McCausland, Senior Manager, Graduate Research School +61 3 9479 3892 / c.mccausland@latrobe.edu.au
HR/Recruitment Enquiries: Alyssa Brabender, Recruitment Consultant, +61 3 9479 1102 or a.brabender@latrobe.edu.au
Position Description below:
HEO7 - Graduate Research Performance Analyst.docx
Only candidates with full working rights in Australia may apply for this position.
Please submit an online application ONLY and include the following documents:
Cover letter;
An up to date resume; and
A separate document addressing each essential and desirable bullet point in the Key Selection Criteria which is located in the position description.
Please scroll down to apply.
*************************************
La Trobe Cultural Qualities:
We are Accountable, We are Connected, We are Innovative, We Care
La Trobe University is an Equal Opportunity Employer.
La Trobe is proud to be a member of the Science in Australia Gender Equity (SAGE) Athena SWAN program to advance gender equality in academia.
08/9/2019
22/9/2019"
